Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-07-29,1,4,129.65,"[401370, 13341, 402106, 587909]","['0_1', '0_1', '0_1', '0_1']"
2025-07-30,2,6,112.96,"[558175, 557181, 587369, 584885, 577823, 578649]","['0_0', '0_0', '0_0', '1_0', '1_0', '1_0']"
2025-07-31,2,10,131.84,"[586937, 558401, 558295, 558076, 557061, 403209, 584622, 405789, 587403, 587650]","['0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-02,1,4,104.9,"[557440, 557411, 586580, 584687]","['0_0', '0_0', '0_0', '0_0']"
2025-08-03,1,9,85.69,"[405547, 14233, 400705, 584577, 585779, 406433, 604065, 401108, 402587]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-04,2,11,152.01,"[404869, 580938, 577314, 584593, 406140, 404543, 400393, 584169, 403706, 16362, 586938]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0']"
2025-08-05,1,7,59.32,"[587134, 587676, 576486, 10604, 405630, 587035, 575771]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-06,1,5,92.91,"[588110, 401911, 578013, 405794, 583964]","['1_1', '1_1', '1_1', '1_1', '1_1']"
2025-08-07,3,28,276.68,"[558101, 588060, 587654, 557459, 603616, 557443, 587873, 557846, 557531, 586591, 554269, 553497, 584840, 13944, 405831, 401065, 588691, 401692, 575953, 16377, 402508, 400384, 584086, 586917, 401092, 401236, 557503, 587267]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-08-08,1,3,26.59,"[585984, 406249, 584886]","['1_0', '1_0', '1_0']"
2025-08-09,1,7,54.72,"[577865, 405059, 405782, 580791, 577726, 575690, 575358]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-10,2,20,179.21,"[557940, 584373, 585702, 558391, 557797, 585302, 557327, 583169, 558241, 557227, 550920, 555528, 577781, 13570, 10515, 400672, 585083, 403445, 584786, 558127]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-11,1,13,103.64,"[581095, 583346, 405228, 576870, 581912, 588606, 582004, 581985, 586729, 405597, 586610, 404278, 585194]","['1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-08-13,2,14,179.84,"[14643, 587517, 577302, 578624, 405919, 587857, 404862, 587868, 401772, 575734, 401698, 585717, 10552, 587941]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-16,1,9,67.67,"[14998, 400877, 582157, 17264, 583451, 580350, 586714, 405812, 557954]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-17,2,14,159.55,"[11706, 583167, 405596, 585484, 405926, 586311, 582058, 604199, 585158, 405290, 400911, 576261, 403069, 405475]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-08-18,2,10,175.89,"[401427, 580938, 406246, 580233, 575723, 584853, 406271, 588691, 11824, 402750]","['0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0']"
